epoch,train_loss,train_acc,test_loss,test_acc
1,0.25861951034069064,0.9210666666666667,0.13494291249364615,0.9602
2,0.11872313226237893,0.9648333333333333,0.14629284994155167,0.9594
3,0.09053654099876682,0.9731166666666666,0.10914225989705884,0.9701
4,0.07380335456517835,0.9784666666666667,0.08721976267872378,0.9746
5,0.06593325127003094,0.9807833333333333,0.10341721373446344,0.975
6,0.05725166333386054,0.9825333333333334,0.11191036225938587,0.9709
7,0.050072275491183,0.9857666666666667,0.11113463068115961,0.9716
8,0.0431891311729094,0.9864666666666667,0.12145652138457298,0.9729
9,0.04370794779445666,0.9869166666666667,0.13814377394120675,0.9689
10,0.04481817449200316,0.9867,0.11416267956389348,0.975
